period,total_radiance,final_month_period,crimea,skripal,ukraine
2012,1137.168925394881,2013-02-01,0,0,0
2013,1023.849228906244,2014-02-01,0,0,0
2014,1224.7141323945536,2015-02-01,1,0,0
2015,1235.9094375172517,2016-02-01,1,0,0
2016,1618.4486944530574,2017-02-01,1,0,0
2017,1343.4923797787392,2018-02-01,1,0,0
2018,1311.348135207827,2019-02-01,1,1,0
2019,1082.1194015977474,2020-02-01,1,1,0
2020,2000.3535204423474,2021-02-01,1,1,0
2021,1956.2271018448707,2022-02-01,1,1,0
2022,1702.1825136052366,2023-02-01,1,1,1
